Study_Hours,Sleep_Hours,Attendance_Percentage,CGPA,Social_Media_Hours,Physical_Activity_Hours,Family_Pressure,Financial_Stress,Exam_Score,Stress_Level
4,3,90,9.92,3,0,2,5,59,Medium
3,9,50,5.7,2,2,3,3,100,Low
10,8,54,6.01,1,0,5,5,43,High
3,9,69,5.92,4,1,4,2,87,Low
3,5,57,9.47,1,3,4,4,95,Low
4,9,92,8.27,5,2,3,4,72,Low
7,7,61,5.76,2,3,4,4,37,Medium
4,9,50,7.2,5,3,5,4,89,Low
9,3,69,8.08,8,2,4,3,35,High
1,7,77,5.42,0,2,5,5,79,Low
8,3,92,9.41,5,1,2,4,81,High
7,4,86,9.02,8,0,5,1,60,High
2,6,96,7.53,3,0,1,4,48,Low
8,3,86,9.84,1,3,1,5,88,Medium
1,7,61,7.09,3,2,1,4,80,Low
11,4,86,9.92,0,1,3,3,65,Medium
12,3,98,8.34,2,1,3,2,93,High
9,5,98,8.17,8,1,3,2,63,High
9,9,93,5.83,4,1,5,5,51,High
2,6,77,9.41,5,1,3,2,48,Low
7,3,96,7.14,2,0,2,2,70,Medium
10,4,64,5.81,4,0,1,1,92,Medium
3,5,55,5.06,7,0,5,5,58,High
7,8,93,7.8,5,2,1,5,97,Medium
12,4,69,7.64,3,3,3,2,59,Medium
10,9,99,8.6,1,1,5,2,93,Medium
9,4,63,9.45,8,2,4,2,66,High
4,5,51,5.4,0,1,2,3,52,Low
12,4,58,8.66,0,0,3,4,71,High
1,5,86,5.94,3,2,3,3,60,Low
2,3,69,9.29,6,0,2,5,43,Medium
1,5,75,9.1,0,1,2,1,98,Low
12,5,78,7.7,8,1,4,4,54,High
5,6,50,8.55,3,3,3,1,88,Low
5,5,84,6.57,2,1,3,5,64,Medium
11,5,55,7.36,0,0,1,5,87,Medium
7,8,86,9.11,3,1,5,1,97,Medium
9,3,54,7.3,8,3,5,1,45,High
9,9,82,6.79,5,3,1,1,65,Low
3,6,98,7.47,5,0,5,5,83,Medium
3,8,100,9.14,0,2,2,2,53,Low
3,7,63,6.68,1,1,5,1,46,Low
4,3,61,5.87,5,3,5,4,49,High
8,3,91,8.56,1,1,1,5,65,Medium
6,7,69,9.13,2,1,4,3,77,Medium
8,9,99,5.5,3,2,5,3,71,Medium
1,5,73,6.2,4,3,5,4,63,Medium
8,8,92,5.71,8,1,4,2,60,Medium
4,4,83,6.74,3,3,1,1,36,Low
11,6,74,7.25,8,0,4,5,49,High
1,4,99,8.74,2,0,1,1,38,Low
8,7,78,8.26,7,1,2,5,84,High
4,3,88,8.1,0,3,1,3,72,Low
6,9,80,6.76,8,1,2,1,57,Low
8,3,96,9.21,8,3,2,4,93,High
4,6,92,7.36,1,3,1,2,62,Low
3,3,99,9.9,3,2,3,4,100,Medium
9,3,72,8.17,7,2,1,2,42,Medium
3,6,93,5.63,6,2,5,1,63,Low
9,8,87,8.38,0,1,5,1,45,Low
2,8,69,6.63,4,2,3,2,52,Low
2,6,72,8.43,6,2,2,3,89,Low
2,9,94,5.35,3,0,3,5,84,Low
6,7,65,5.87,0,3,5,4,48,Low
3,3,99,9.28,8,3,3,4,43,Medium
9,9,91,6.14,4,2,1,4,45,Low
4,3,57,9.19,1,3,3,1,97,Low
1,7,99,6.4,7,0,2,4,87,Low
4,8,70,8.21,1,0,1,5,73,Low
1,9,50,8.47,2,2,4,5,90,Low
5,5,57,7.56,0,0,5,2,62,Medium
4,5,78,6.53,1,3,5,1,73,Low
8,5,81,6.06,6,1,3,5,59,High
8,8,87,5.17,1,3,1,3,55,Low
7,8,54,6.52,5,1,4,1,44,Medium
3,7,96,8.27,2,2,1,1,77,Low
1,3,71,9.69,3,1,5,5,49,Medium
1,7,96,9.36,7,0,1,3,82,Low
12,7,83,8.83,2,3,4,2,55,Medium
11,8,50,8.94,5,1,3,5,94,High
3,5,75,8.32,0,3,2,3,84,Low
6,4,92,6.3,6,2,1,1,57,Low
7,3,59,9.54,7,2,2,3,47,High
6,8,79,8.35,7,0,5,1,38,Medium
6,5,99,7.8,2,2,3,5,43,Medium
6,9,67,5.55,0,1,3,5,69,Low
3,4,66,7.24,8,2,1,4,55,Medium
6,4,75,7.3,5,0,3,4,92,High
8,8,57,9.32,8,3,1,4,52,Medium
11,6,96,7.73,6,3,1,5,77,High
11,3,89,6.9,0,2,2,2,40,Medium
2,4,98,9.88,0,1,3,5,46,Medium
5,8,61,5.55,5,0,1,3,46,Low
1,8,76,7.11,4,1,2,5,100,Low
12,5,57,5.21,8,0,4,5,36,High
1,9,74,8.7,1,2,2,1,49,Low
5,6,95,9.59,7,0,2,1,57,Medium
12,3,53,6.4,4,0,1,1,63,High
3,7,82,9.29,1,2,5,5,41,Medium
4,9,50,6.46,5,1,5,2,62,Low
3,9,68,9.55,7,2,5,3,48,Low
1,5,80,8.77,3,0,2,3,78,Low
1,4,65,9.02,1,2,1,2,64,Low
12,4,63,5.09,4,0,3,2,66,High
12,5,97,9.81,1,2,2,3,40,Medium
5,8,54,8.63,1,3,2,4,61,Low
6,4,90,6.52,5,3,1,1,58,Low
3,6,75,9.15,8,2,4,1,68,Medium
12,3,77,6.41,3,1,2,3,74,High
9,9,51,9.36,5,0,4,2,81,Medium
5,9,99,5.56,6,3,4,4,58,Low
8,6,55,8.52,5,1,5,3,99,High
1,4,58,7.7,7,0,1,1,52,Low
5,9,82,5.48,3,3,4,5,78,Low
3,7,90,6.21,0,3,1,2,91,Low
12,3,74,5.06,6,2,5,5,62,High
1,3,97,7.34,2,0,1,3,57,Low
4,9,62,6.51,5,1,2,1,68,Low
5,5,58,7.99,1,1,4,4,45,Medium
7,9,62,6.49,8,1,1,5,69,Medium
1,5,80,6.5,0,0,3,4,76,Low
3,9,90,8.72,5,1,1,1,62,Low
2,7,60,5.24,5,1,4,5,58,Medium
9,8,53,9.51,4,1,5,4,42,High
10,3,83,9.26,4,2,5,4,87,High
6,9,87,8.34,0,2,4,5,38,Low
10,7,95,7.97,4,0,2,1,39,Medium
3,5,53,9.46,1,0,2,4,83,Low
8,5,87,5.93,6,1,5,3,64,High
8,3,68,5.39,2,2,5,5,97,High
2,6,55,6.2,3,3,4,2,81,Low
6,9,83,8.97,2,3,2,2,60,Low
7,4,67,5.17,2,1,5,1,91,Medium
2,5,62,7.91,3,1,2,3,71,Low
11,8,90,9.98,4,2,5,4,41,High
10,8,72,9.28,0,2,1,2,74,Low
2,5,68,7.61,3,2,3,1,73,Low
10,6,94,5.32,7,0,1,3,96,High
1,6,60,9.16,6,0,5,3,87,Medium
8,7,50,7.99,8,1,3,1,38,Medium
1,8,73,5.57,4,0,3,1,59,Low
9,7,56,5.47,3,2,5,4,41,Medium
11,8,74,9.55,7,2,5,1,62,Medium
6,9,70,8.35,8,0,2,4,54,Medium
7,9,64,9.15,6,3,5,4,45,Medium
10,4,50,9.39,6,1,4,5,41,High
7,9,61,7.86,4,3,5,3,57,Medium
10,4,56,7.59,3,1,4,3,95,High
3,9,64,7.15,0,3,5,3,68,Low
2,3,70,6.58,6,0,2,5,53,Medium
9,9,68,7.17,0,1,4,4,92,Medium
8,7,78,8.87,0,1,1,4,43,Low
12,5,74,8.01,4,1,4,1,82,High
10,7,82,9.46,8,2,2,5,75,High
7,5,98,7.22,5,2,4,1,82,Medium
9,6,81,8.04,2,3,5,5,79,High
4,7,98,8.16,2,0,5,1,59,Low
4,6,84,7.96,6,2,2,2,59,Low
1,4,93,8.51,5,1,3,3,53,Medium
8,4,87,6.19,8,2,5,3,73,High
12,3,75,7.56,5,0,1,4,61,High
3,9,60,5.52,4,2,2,2,97,Low
7,7,84,6.92,6,1,4,3,53,Medium
12,6,57,7.44,0,3,4,4,62,Medium
2,5,95,8.26,6,1,1,2,67,Low
2,4,63,9.75,2,0,5,3,44,Medium
7,9,59,8.0,8,3,2,1,64,Low
6,4,51,8.72,5,2,1,5,56,Medium
3,5,95,7.53,8,2,5,2,37,Medium
9,9,58,8.17,4,2,2,4,82,Medium
10,9,52,5.35,6,3,4,2,36,Medium
6,6,70,6.27,3,1,2,4,88,Medium
10,6,75,6.81,6,3,3,2,40,Medium
10,7,57,7.36,0,3,2,4,74,Low
6,7,97,5.23,6,0,3,3,36,Medium
1,8,51,5.7,7,3,2,1,36,Low
4,8,55,6.38,4,2,3,3,89,Low
10,3,77,9.86,1,1,4,1,94,Medium
6,4,78,6.66,4,1,5,3,40,High
6,7,75,7.41,5,1,3,3,53,Medium
11,6,74,5.98,1,2,3,2,61,Medium
12,5,61,8.05,5,2,4,5,35,High
5,6,54,6.4,5,2,3,4,67,Medium
1,4,83,6.03,0,2,1,4,74,Low
8,8,97,7.58,0,2,4,4,66,Medium
5,6,86,5.03,2,3,1,1,51,Low
12,3,64,5.04,2,2,4,4,42,High
12,4,93,6.1,3,2,3,4,91,High
12,8,85,5.18,1,2,1,2,76,Low
5,5,64,5.54,8,2,3,3,43,Medium
7,8,92,6.69,6,1,4,4,69,Medium
4,9,97,9.01,6,2,3,5,87,Low
6,3,72,7.86,5,3,1,4,88,Medium
4,4,55,7.56,2,3,1,1,59,Low
3,5,95,6.47,5,3,3,1,96,Low
7,3,99,9.66,7,0,2,1,89,Medium
8,8,93,6.99,7,1,4,4,80,High
4,3,92,5.44,8,2,4,2,58,Medium
2,4,94,8.09,0,0,3,5,80,Medium
12,7,70,5.57,0,2,2,4,56,Medium
10,3,72,6.73,2,0,1,2,45,Medium
3,9,92,7.54,2,0,5,2,82,Low
1,3,65,9.37,7,3,5,4,42,Medium
8,8,96,7.47,0,3,3,4,73,Low
3,8,64,8.51,1,0,2,2,69,Low
12,5,74,9.96,1,3,2,2,83,Medium
10,8,85,5.66,2,0,4,2,80,Medium
7,6,60,6.37,5,1,1,4,72,Medium
10,4,100,6.97,0,3,2,2,42,Medium
5,4,64,7.11,1,3,5,1,88,Low
10,7,53,7.06,0,3,1,4,71,Low
5,7,70,9.54,4,1,1,1,74,Low
7,4,62,8.57,6,0,3,3,68,High
9,9,71,8.04,7,2,2,4,51,Medium
12,7,68,6.55,0,3,3,3,67,Medium
5,5,83,9.12,6,0,2,2,81,Medium
1,8,63,9.78,4,1,4,2,86,Low
10,4,53,9.11,0,2,3,5,43,High
10,7,97,5.01,2,3,3,2,67,Medium
1,4,95,8.18,6,1,5,3,94,Medium
2,6,76,5.26,0,1,3,2,55,Low
6,3,78,6.29,6,2,2,4,92,Medium
9,8,96,5.3,4,0,5,2,44,Medium
8,4,77,8.02,0,3,3,5,40,Medium
5,3,84,8.43,0,3,3,2,47,Low
1,7,57,5.57,0,0,4,3,99,Low
7,3,65,6.92,8,0,3,3,54,High
5,8,91,7.28,2,0,1,2,91,Low
6,4,85,6.85,4,2,5,3,80,Medium
7,6,79,5.61,8,2,1,3,42,Medium
3,9,67,7.09,5,3,5,5,44,Low
12,7,51,8.76,8,2,4,4,45,High
10,4,98,5.36,7,1,3,5,46,High
3,8,62,5.4,7,3,3,1,44,Low
5,7,53,6.77,0,2,3,5,59,Low
6,5,75,9.71,8,0,5,2,83,High
9,3,74,8.34,5,1,3,4,83,High
12,9,79,8.39,8,0,1,2,45,Medium
5,8,60,6.81,2,3,3,1,96,Low
1,5,56,7.97,2,0,4,4,70,Medium
4,4,80,5.05,5,2,1,3,73,Low
5,6,93,8.18,8,2,3,5,87,Medium
12,7,59,9.57,6,3,3,2,90,Medium
10,3,88,8.06,2,0,2,1,35,Medium
10,7,62,9.37,2,3,5,3,90,Medium
5,9,80,8.62,1,0,1,5,38,Low
7,4,56,5.6,8,1,2,3,64,High
4,7,98,9.51,2,2,4,5,46,Medium
1,3,91,5.33,4,3,5,4,69,Medium
5,4,91,7.67,8,1,1,3,86,Medium
7,7,85,5.71,7,1,3,3,65,Medium
10,6,69,5.06,1,3,1,3,86,Low
10,8,53,7.11,2,3,3,4,41,Medium
6,4,56,6.48,1,1,5,1,56,Medium
5,8,50,7.43,7,0,3,5,90,Medium
4,4,93,7.89,5,1,4,3,92,Medium
2,6,94,5.22,5,3,3,4,98,Low
4,8,91,5.62,8,1,4,1,46,Low
10,5,96,7.79,7,0,5,5,41,High
10,3,62,6.72,3,2,5,4,89,High
3,5,71,8.65,3,2,1,5,96,Low
10,7,70,8.26,8,1,4,3,89,High
1,6,71,9.23,0,0,4,1,70,Low
8,5,77,8.46,1,2,2,4,58,Medium
5,4,58,7.15,1,1,2,1,78,Low
4,7,75,8.36,5,1,2,3,51,Low
8,7,58,6.38,3,0,3,1,36,Medium
7,5,64,6.53,2,3,2,1,47,Low
2,5,59,8.94,2,1,4,2,65,Low
1,6,73,7.23,2,3,3,1,62,Low
12,3,91,8.99,5,3,5,5,94,High
11,5,57,9.11,7,2,1,4,61,High
4,9,73,9.29,6,3,2,2,49,Low
8,5,65,9.58,3,0,5,4,67,High
12,8,98,7.15,3,2,4,4,54,High
2,4,75,6.59,1,2,1,3,76,Low
3,9,76,7.91,0,2,5,3,46,Low
12,9,86,6.86,8,1,1,2,57,Medium
1,8,53,8.01,1,1,2,3,48,Low
1,8,99,8.53,7,3,4,3,59,Low
3,7,73,8.44,8,2,1,3,65,Low
11,3,68,6.87,3,2,5,4,88,High
5,4,85,5.83,7,0,2,2,39,Medium
12,6,88,7.15,8,3,2,4,47,High
3,9,59,5.71,4,0,5,5,62,Medium
1,6,74,9.45,6,3,5,4,77,Medium
1,5,67,6.73,3,3,1,5,81,Low
8,5,68,5.77,0,1,3,1,72,Low
10,6,85,5.13,2,1,2,1,96,Medium
11,5,59,8.23,4,0,1,5,73,High
12,3,82,8.18,2,3,5,5,71,High
12,8,99,6.7,6,2,1,4,42,Medium
2,5,54,5.36,8,1,5,5,86,High
3,7,96,7.05,5,2,4,2,67,Low
2,5,98,6.56,0,0,5,1,76,Low
3,4,84,8.39,6,1,5,1,61,Medium
7,3,93,8.03,2,1,5,5,42,High
1,4,83,6.82,4,3,3,3,57,Low
10,4,82,6.09,3,0,5,3,98,High
8,7,70,9.94,4,3,2,5,54,Medium
10,3,66,7.27,4,1,2,2,50,High
10,3,71,8.44,5,0,1,3,51,High
10,3,97,5.7,5,1,3,5,53,High
2,3,86,7.43,7,0,1,2,42,Medium
3,3,64,5.14,7,1,2,2,72,Medium
9,7,84,7.53,8,2,2,4,72,Medium
7,5,77,9.82,7,2,4,2,87,Medium
4,4,56,6.92,1,3,5,3,65,Medium
10,3,81,5.19,0,2,2,3,78,Medium
5,9,60,5.15,1,1,1,5,94,Low
2,5,59,6.94,1,1,1,5,51,Low
11,5,58,5.8,2,2,5,2,73,High
8,4,63,5.12,6,3,5,1,76,Medium
4,7,62,8.78,1,2,4,4,82,Low
9,6,74,7.29,0,0,3,1,46,Medium
5,6,51,6.45,5,0,1,2,52,Low
9,5,84,9.5,8,0,5,2,40,High
4,8,56,5.58,2,2,1,1,77,Low
10,8,70,9.78,5,2,5,4,69,High
5,4,67,6.57,2,2,2,1,88,Low
9,6,52,9.44,0,0,1,5,96,Medium
8,5,91,8.01,4,3,2,3,50,Medium
3,7,88,9.13,3,1,1,5,42,Low
1,6,90,9.92,6,2,3,3,65,Low
3,5,98,6.44,5,3,4,2,44,Low
4,5,60,9.81,6,1,2,4,90,Medium
2,3,88,6.95,4,1,5,1,54,Medium
1,7,73,6.93,3,1,3,4,39,Low
7,3,95,6.7,6,3,1,1,57,Medium
8,4,68,7.71,6,3,2,5,43,High
7,3,53,5.77,5,0,1,5,92,High
5,9,75,7.77,7,3,1,1,93,Low
12,3,87,7.71,3,3,1,4,88,High
1,9,91,8.81,4,3,4,1,80,Low
7,6,81,9.17,3,1,4,2,56,Medium
7,8,88,7.2,0,2,5,5,98,Medium
9,5,94,6.51,7,0,2,2,42,High
